study_hours_per_week,attendance_pct,assignment_score,internal_marks,sleep_hours,final_exam_score
22.980284918067397,93.99355436586002,68.24821725025619,14.737539536980872,6.136506395035066,58.708568867341214
19.170414192972892,89.24633682912769,73.55481329284483,23.116919913763986,6.9687965110609165,59.22247449153411
23.886131228604157,80.59630369920174,67.07580079000039,26.691155732626846,7.018016872044447,52.075256174722874
29.13817913844815,73.53063222294426,71.9203847036096,45.10150125872153,7.472630345843406,66.62867076886025
18.595079751659984,86.9822331361359,56.063853330462145,34.45242499627007,5.633141636719174,63.42142420911253
18.595178258304916,83.9348538542175,77.13293707372938,19.31614744720087,7.59256727384733,53.12459997586353
29.47527689304435,88.95193220027733,75.01205475362224,33.888290315341095,4.295608368397225,73.9823335913837
24.604608374917454,86.35171801681969,66.82911368931809,17.621568088493078,6.37011544763619,62.48404458615596
17.183153684390287,90.49552715319335,81.59245668432405,38.661528431096585,6.5117261575484555,63.24188132326597
23.25536026151579,74.64764788439432,84.37570137626558,26.231002785456973,7.633326826071238,61.875430833312784
17.21949384312523,93.17394065634326,58.924401356310256,29.250910490086632,7.022630852676869,68.62500700129723
17.205621478578458,81.975996046924,67.37275221433785,40.60637318033752,5.594436946143714,65.31702949093643
21.451773629396204,100.0,67.30857650212701,19.702691451326,6.015006874182985,63.14983126210353
8.520318532053214,73.10812181910433,65.60096898891135,18.82305451909607,7.198680009547407,47.37062938523778
9.650493004921803,97.3596380316525,83.29474841931749,25.33120538923196,6.920932658135444,62.13496089391576
16.626274824554166,81.97910783462648,73.06173861227197,38.307030808154536,6.420875890364254,59.66294688303639
13.923013277993457,73.48581996385552,72.35485158689389,17.845231396185262,6.519166210488021,41.567627941036676
21.885483995571644,75.16114165945679,54.961376355932465,7.342755215115449,7.696167997159289,60.745159882597285
14.551855546872734,76.7965269180568,81.35418030209226,26.39072913272801,6.4823074271307854,58.52071935865266
11.526177791988252,84.24165946401916,62.60741605146528,34.41392639928736,6.911908755970927,59.327938568877286
28.793892613529323,85.228354880355,75.59932630266329,39.602093997910636,9.0,71.17640748139246
18.645342197080787,74.26299996061421,77.77376937958192,26.29470910331681,5.576317363116077,54.15731237157118
20.405169228127544,79.75645407739017,88.60658595838652,26.70858714307198,5.148157268425342,61.507870401348534
11.451510882719258,100.0,61.91179600880888,39.231205874045976,7.7835896647986065,55.772297426762954
16.733703652848902,97.27543170100711,44.80487844179174,15.042066402436635,6.321356938705897,65.5691879054354
20.665535538259196,84.36323669674032,76.83849544753694,26.891833798535927,6.68176247225738,56.24530925123657
13.094038535466183,80.380034781682,93.00511181510853,31.52339111940046,6.218843621868886,56.66865979277808
22.254188110074033,81.20031326718261,87.38946352939438,33.593749770280276,6.740199859232487,64.21200957983899
16.39616786048717,86.13517972730416,77.09659415274626,25.92154645447294,8.59853811209634,67.97406829563602
